"filename", "language", "HTML", "Java", "Java Properties", "comment", "blank", "total"
"d:\Coding\Learn\Java\AWT\FrameTest.java", "Java", 0, -13, 0, 0, -3, -16
"d:\Coding\Learn\Java\AWT\ScrollPaneTest.java", "Java", 0, -12, 0, 0, -2, -14
"d:\Coding\Learn\Java\BeerSong.java", "Java", 0, -21, 0, 0, -6, -27
"d:\Coding\Learn\Java\Gomoku.java", "Java", 0, -109, 0, -12, -12, -133
"d:\Coding\Learn\Java\Main.java", "Java", 0, 13, 0, 3, 5, 21
"d:\Coding\Learn\Java\Test4.java", "Java", 0, -10, 0, 0, -1, -11
"d:\Coding\Learn\Java\examples\ATMsystem.java", "Java", 0, 137, 0, 0, 28, 165
"d:\Coding\Learn\Java\examples\BeerSong.java", "Java", 0, 21, 0, 0, 6, 27
"d:\Coding\Learn\Java\examples\BubbleSort.java", "Java", 0, 19, 0, 0, 3, 22
"d:\Coding\Learn\Java\examples\FilmSystem.java", "Java", 0, 36, 0, 0, 9, 45
"d:\Coding\Learn\Java\examples\FoodDeliverySystem.java", "Java", 0, 71, 0, 0, 19, 90
"d:\Coding\Learn\Java\examples\Gomoku.java", "Java", 0, 109, 0, 12, 12, 133
"d:\Coding\Learn\Java\examples\SearchingAlgorithm.java", "Java", 0, 21, 0, 0, 3, 24
"d:\Coding\Learn\Java\examples\UserLogin.java", "Java", 0, 42, 0, 0, 11, 53
"d:\Coding\Learn\Java\java_advanced\API.java", "Java", 0, -24, 0, -4, -7, -35
"d:\Coding\Learn\Java\java_advanced\APILearn.java", "Java", 0, -30, 0, -7, -24, -61
"d:\Coding\Learn\Java\java_advanced\ATMsystem.java", "Java", 0, -137, 0, 0, -28, -165
"d:\Coding\Learn\Java\java_advanced\AWT\FrameTest.java", "Java", 0, 13, 0, 0, 3, 16
"d:\Coding\Learn\Java\java_advanced\AWT\ScrollPaneTest.java", "Java", 0, 12, 0, 0, 2, 14
"d:\Coding\Learn\Java\java_advanced\ArraryTest2.java", "Java", 0, -31, 0, -1, -3, -35
"d:\Coding\Learn\Java\java_advanced\ArraysTest.java", "Java", 0, -9, 0, -13, -3, -25
"d:\Coding\Learn\Java\java_advanced\BubbleSort.java", "Java", 0, -19, 0, 0, -3, -22
"d:\Coding\Learn\Java\java_advanced\CharacterDemo.java", "Java", 0, -13, 0, 0, -3, -16
"d:\Coding\Learn\Java\java_advanced\ClassDemo.java", "Java", 0, -27, 0, -2, -7, -36
"d:\Coding\Learn\Java\java_advanced\CollectionTest.java", "Java", 0, -20, 0, -21, -2, -43
"d:\Coding\Learn\Java\java_advanced\Extend.java", "Java", 0, -27, 0, -10, 0, -37
"d:\Coding\Learn\Java\java_advanced\FilmSystem.java", "Java", 0, -36, 0, 0, -9, -45
"d:\Coding\Learn\Java\java_advanced\FoodDeliverySystem.java", "Java", 0, -71, 0, 0, -19, -90
"d:\Coding\Learn\Java\java_advanced\Generic.java", "Java", 0, -16, 0, -1, 0, -17
"d:\Coding\Learn\Java\java_advanced\GenericFunction.java", "Java", 0, -8, 0, 0, -1, -9
"d:\Coding\Learn\Java\java_advanced\GenericInterface.java", "Java", 0, -18, 0, 0, -8, -26
"d:\Coding\Learn\Java\java_advanced\LoginSystem.java", "Java", 0, -46, 0, -1, -13, -60
"d:\Coding\Learn\Java\java_advanced\Mltithreading\ThreadCommunication.java", "Java", 0, 89, 0, 0, 5, 94
"d:\Coding\Learn\Java\java_advanced\Mltithreading\ThreadDemo.java", "Java", 0, 32, 0, 25, 6, 63
"d:\Coding\Learn\Java\java_advanced\Mltithreading\ThreadSecurity.java", "Java", 0, 63, 0, 13, 16, 92
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\IPAddress.java", "Java", 0, 14, 0, 5, 3, 22
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\TCP\Client.java", "Java", 0, 14, 0, 0, 3, 17
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\TCP\Server.java", "Java", 0, 17, 0, 0, 3, 20
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Client.java", "Java", 0, 14, 0, 0, 3, 17
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Client2.java", "Java", 0, 23, 0, 0, 4, 27
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Server.java", "Java", 0, 17, 0, 0, 3, 20
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Server2.java", "Java", 0, 21, 0, 0, 3, 24
"d:\Coding\Learn\Java\java_advanced\ObjectOriented.java", "Java", 0, -25, 0, -9, -1, -35
"d:\Coding\Learn\Java\java_advanced\Polymorphism.java", "Java", 0, -4, 0, -44, -2, -50
"d:\Coding\Learn\Java\java_advanced\SearchingAlgorithm.java", "Java", 0, -21, 0, 0, -3, -24
"d:\Coding\Learn\Java\java_advanced\SelectionSort.java", "Java", 0, -19, 0, 0, -4, -23
"d:\Coding\Learn\Java\java_advanced\SetNesting.java", "Java", 0, -13, 0, 0, -2, -15
"d:\Coding\Learn\Java\java_advanced\Static.java", "Java", 0, -13, 0, -6, -2, -21
"d:\Coding\Learn\Java\java_advanced\StreamDemo.java", "Java", 0, -18, 0, -13, -2, -33
"d:\Coding\Learn\Java\java_advanced\UserLogin.java", "Java", 0, -42, 0, 0, -11, -53
"d:\Coding\Learn\Java\java_advanced\class\API.java", "Java", 0, 24, 0, 4, 7, 35
"d:\Coding\Learn\Java\java_advanced\class\APILearn.java", "Java", 0, 30, 0, 7, 24, 61
"d:\Coding\Learn\Java\java_advanced\class\CharacterDemo.java", "Java", 0, 13, 0, 0, 3, 16
"d:\Coding\Learn\Java\java_advanced\class\ClassDemo.java", "Java", 0, 33, 0, 3, 7, 43
"d:\Coding\Learn\Java\java_advanced\class\Extend.java", "Java", 0, 27, 0, 10, 0, 37
"d:\Coding\Learn\Java\java_advanced\class\LoginSystem.java", "Java", 0, 46, 0, 1, 13, 60
"d:\Coding\Learn\Java\java_advanced\class\ObjectOriented.java", "Java", 0, 25, 0, 9, 1, 35
"d:\Coding\Learn\Java\java_advanced\class\Static.java", "Java", 0, 13, 0, 6, 2, 21
"d:\Coding\Learn\Java\java_advanced\collection\ArraryTest2.java", "Java", 0, 31, 0, 1, 3, 35
"d:\Coding\Learn\Java\java_advanced\collection\ArraysTest.java", "Java", 0, 9, 0, 13, 3, 25
"d:\Coding\Learn\Java\java_advanced\collection\CollectionTest.java", "Java", 0, 20, 0, 21, 2, 43
"d:\Coding\Learn\Java\java_advanced\collection\Polymorphism.java", "Java", 0, 4, 0, 44, 2, 50
"d:\Coding\Learn\Java\java_advanced\collection\SelectionSort.java", "Java", 0, 19, 0, 0, 4, 23
"d:\Coding\Learn\Java\java_advanced\collection\SetNesting.java", "Java", 0, 13, 0, 0, 2, 15
"d:\Coding\Learn\Java\java_advanced\generic\Generic.java", "Java", 0, 16, 0, 1, 0, 17
"d:\Coding\Learn\Java\java_advanced\generic\GenericFunction.java", "Java", 0, 8, 0, 0, 1, 9
"d:\Coding\Learn\Java\java_advanced\generic\GenericInterface.java", "Java", 0, 18, 0, 0, 8, 26
"d:\Coding\Learn\Java\java_advanced\io\FileDemo.java", "Java", 0, 30, 0, 0, 2, 32
"d:\Coding\Learn\Java\java_advanced\io\FileOperator.java", "Java", 0, 82, 0, 0, 6, 88
"d:\Coding\Learn\Java\java_advanced\io\ProperityFile.java", "Java", 0, 16, 0, 0, 2, 18
"d:\Coding\Learn\Java\java_advanced\io\StreamDemo.java", "Java", 0, 40, 0, 10, 3, 53
"d:\Coding\Learn\Java\java_advanced\io\property.properties", "Java Properties", 0, 0, 3, 2, 1, 6
"d:\Coding\Learn\Main.java", "Java", 0, -13, 0, -3, -5, -21
"d:\Coding\Learn\Web\OnlineBookShop\index.html", "HTML", 15, 0, 0, 0, 0, 15
"Total", "-", 15, 450, 3, 43, 60, 571